pubchem_cid,SMILES
145984797,CC[C@H](C)[C@@H](C(=O)N1CCC[C@H]1C(=O)N[C@@H](CC(=O)O)C(=O)O)NC(=O)[C@H](CS)NC(=O)[C@H](C(C)C)NC(=O)[C@@H]2CCCN2C(=O)[C@@H]3CCCN3C(=O)[C@H](CC4=CC=C(C=C4)O)NC(=O)[C@H](CO)NC(=O)[C@H](CCCN=C(N)N)NC(=O)[C@H](CO)NC(=O)[C@H](CS)NC(=O)[C@H](CC5=CC=C(C=C5)O)NC(=O)CN
2207,C(CP(=O)(O)O)C(C(=O)O)N
33032,C(CC(=O)O)[C@@H](C(=O)O)N
6324634,C1=CC=C(C=C1)C(CCC[C@@H](C[C@@H](C(=O)O)N)C(=O)O)C2=CC=CC=C2
9819927,C1[C@@H]([C@H]1[C@@](CC2C3=CC=CC=C3OC4=CC=CC=C24)(C(=O)O)N)C(=O)O
10359073,C1=CC=C(C=C1)C(C[C@@H](C[C@@H](C(=O)O)N)C(=O)O)C2=CC=CC=C2
49791889,C1CCC(C1)[C@](C2CCN(CC2)CCCOC3=CC=C(C=C3)C#N)(C4=CC=CC=C4)O
49791890,C1CCC(C1)[C@@](C2CCN(CC2)CCCOC3=CC=C(C=C3)C#N)(C4=CC=CC=C4)O
54765302,CCCC1=CC2=C(N=CN=C2S1)N3CCN(CC3)C4=NCC(S4)(C)C
71561460,CC(C)CC1=CC=CC(=C1)C[C@H]2C(=O)N3CCC[C@H]3C(=O)NC4(CCC4)C(=O)N[C@H](C(=O)N5CCC[C@H]5C(=O)NCCCCCCCC[C@@H](C(=O)N2)N)CCCN=C(N)N
71561461,C1CCCCNC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)C3(CCC3)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)[C@H](CCC1)N)CC5=CC=C(C=C5)F)CCCN=C(N)N
71561462,C1CCCCNC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)C3(CCC3)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)[C@H](CCC1)N)CC5=CC(=CC(=C5)F)F)CCCN=C(N)N
71562332,CCCCC[C@@H](C(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N2CCC[C@H]2C(=O)N[C@@H](C)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N3CCC[C@H]3C(=O)NCC)NC(=O)[C@H](CC4=CNC5=CC=CC=C54)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C
71562437,C[C@H]1C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)NCCCCCC[C@@H](C(=O)N[C@H](C(=O)N3CCC[C@H]3C(=O)N1)CC4=CC=CC=C4)NC(=O)[C@H](CC5=CNC6=CC=CC=C65)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C)CCCN=C(N)N
71562438,C[C@H]1C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)NCCCCC[C@@H](C(=O)N[C@H](C(=O)N3CCC[C@H]3C(=O)N1)CC4=CC=CC=C4)NC(=O)[C@H](CC5=CNC6=CC=CC=C65)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C)CCCN=C(N)N
71562540,C[C@H]1C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)NCCCCCCCC[C@@H](C(=O)N[C@H](C(=O)N3CCC[C@H]3C(=O)N1)CC4=CC=CC=C4)NC(=O)[C@H](CC5=CNC6=CC=CC=C65)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C)CCCN=C(N)N
71562542,C[C@H]1C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)NCCCCCCCC[C@@H](C(=O)N[C@H](C(=O)N3CCC[C@H]3C(=O)N1)CC4=CC=CC=C4)N)CCCN=C(N)N
71562653,C[C@H]1C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)NCCCC[C@@H](C(=O)N[C@H](C(=O)N3CCC[C@H]3C(=O)N1)CC4=CC=CC=C4)NC(=O)[C@H](CC5=CNC6=CC=CC=C65)NC(=O)[C@H](CCCN=C(N)N)NC(=O)C)CCCN=C(N)N
71562654,C[C@H]1C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)NCCCCCCCC[C@@H](C(=O)N[C@H](C(=O)N3CCC[C@H]3C(=O)N1)CC4=CC=CC=C4)NC(=O)C)CCCN=C(N)N
71562655,C[C@H]1C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)NCCCCCCCCCC(=O)N[C@H](C(=O)N3CCC[C@H]3C(=O)N1)CC4=CC=CC=C4)CCCN=C(N)N
71562785,CC[C@H]1C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)NCCCCCCCC[C@@H](C(=O)N[C@H](C(=O)N3CCC[C@H]3C(=O)N1)CC4=CC=CC=C4)N)CCCN=C(N)N
71562786,C1CCCCNC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)C3(CC3)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)[C@H](CCC1)N)CC5=CC=CC=C5)CCCN=C(N)N
71562787,C1CCCCNC(=O)[C@@H]2CCCN2C(=O)[C@@H](NC(=O)C3(CCC3)NC(=O)[C@@H]4CCCN4C(=O)[C@@H](NC(=O)[C@H](CCC1)N)CC5=CC=CC=C5)CCCN=C(N)N
71562903,CC1(C(=O)N[C@H](C(=O)N2CCC[C@H]2C(=O)NCCCCCCCC[C@@H](C(=O)N[C@H](C(=O)N3CCC[C@H]3C(=O)N1)CC4=CC=CC=C4)N)CCCN=C(N)N)C
